recordPriceID,startMonitoringDate,endMonitoringDate, ron95CommongPrice , dieselCommonPrice 
ID-001,3/24/26,3/30/26, 95.90 , 119.20 
ID-002,3/17/26,3/17/26, 86.20 , 102.60 
ID-003,3/10/26,3/10/26, 72.00 , 82.00 
ID-004,3/3/26,3/9/26, 56.90 , 60.50 
ID-005,2/24/26,3/2/26, 54.50 , 60.79 
ID-006,2/17/26,2/23/26, 56.00 , 55.00 
ID-007,2/10/26,2/16/26, 57.50 , 56.00 
ID-008,2/3/26,2/9/26, 55.90 , 56.50 
ID-009,1/27/26,2/2/26, 56.10 , 54.90 
ID-010,1/20/26,1/26/26, 55.70 , 51.10 
ID-011,1/13/26,1/19/26, 54.90 , 54.40 
ID-012,1/6/26,1/12/26, 54.80 , 55.60 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
